Pareto_Point,Cu,Al,Cr,Mg,Ni,Si,Zr,Processing_Route,Solution_Temp,Solution_Time,CR_Reduction,Aging_Temp,Aging_Time,AD_valid,AD_distance,HV_mean,HV_std,HV_LCB,EC_mean,EC_std,EC_LCB,Q3_mean,Q3_std,Q3_LCB,Utopia_distance,Recommended_experimental_role
P1_Strength_anchor,92.22,0.47000000000000003,0.14,0.13,5.98,1.06,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.8074475327305903,260.20847,14.180385,246.02808,41.501083,1.2181704,40.282913,0.7703889,0.004399761,0.7659891,1.0,Boundary/reference
P2_Balanced_knee,92.52,0.37,0.11,0.16,5.84,1.0,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.7342779652451186,247.62895,8.554925,239.07402,46.76591,1.819386,44.946526,0.7675039,0.005451992,0.76205194,0.42764026,Primary experimental alloy
P3_Conductivity_anchor,92.2,0.49,0.16,0.16,5.98,1.01,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.7910430923789445,242.09673,12.9206505,229.17607,47.14032,1.604312,45.536007,0.7780307,0.0017038318,0.77632684,1.0,Boundary/reference
