Cu,Al,Cr,Mg,Ni,Si,Zr,Processing_Route,Solution_Temp,Solution_Time,CR_Reduction,Aging_Temp,Aging_Time,AD_valid,AD_distance,HV_mean,HV_std,HV_LCB,EC_mean,EC_std,EC_LCB,Q3_mean,Q3_std,Q3_LCB
92.22,0.47000000000000003,0.14,0.13,5.98,1.06,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.8074475327305903,259.57727,8.232143,251.34512,43.640095,2.1115773,41.52852,0.771778,0.011238096,0.7605399
92.24,0.49,0.17,0.14,5.96,1.0,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.9073131174964,257.9239,8.970449,248.95345,47.002186,2.0181618,44.984024,0.771778,0.011238096,0.7605399
92.27,0.47000000000000003,0.12,0.15,5.98,1.01,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.2969515874872629,246.19121,6.780342,239.41086,48.00515,2.1777875,45.827362,0.77761364,0.0040902626,0.7735234
92.17,0.48,0.18,0.15,6.0,1.02,0.0,2,980.0,4.0,50.0,450.0,4.0,True,1.0025564426748361,245.18645,7.091727,238.09473,48.0161,2.0392158,45.976887,0.7623651,0.008087548,0.7542775
92.33,0.48,0.11,0.13,5.94,1.01,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.5483605866699416,245.16846,7.856973,237.31148,48.124435,2.1291003,45.995335,0.7866672,0.01002349,0.77664375
92.2,0.49,0.16,0.16,5.98,1.01,0.0,2,980.0,4.0,50.0,450.0,4.0,True,0.7910430923789445,243.65735,6.7986956,236.85866,49.229927,2.1248705,47.105057,0.7797955,0.0033330177,0.7764625
92.23,0.5,0.18,0.16,5.9,1.03,0.0,2,980.0,4.0,50.0,450.0,4.0,True,1.043067665303136,237.58359,9.619428,227.96416,49.30521,2.1717148,47.133495,0.7797955,0.0033330177,0.7764625
