Property,Split,N,R2,RMSE
HV,Train,908,0.814499100488427,33.5840192194737
HV,Test,228,0.8110030233705172,33.32988002196006
EC,Train,908,0.7993038979353478,5.404932307948441
EC,Test,228,0.7587642551283112,6.494818819503301
Q3,Train,908,0.7844132703544308,0.06019591550683632
Q3,Test,228,0.728044530552932,0.06272472158874318
