iter	RMSE
0	0.1272983992
1	0.1264536076
2	0.1254606605
3	0.1244684427
4	0.1234338474
5	0.1226314599
6	0.1218913796
7	0.1212932764
8	0.1206445521
9	0.1200923373
10	0.1192212351
11	0.1185159618
12	0.1180415567
13	0.117356516
14	0.1165821513
15	0.1161932889
16	0.1153940759
17	0.1146818496
18	0.1143147373
19	0.1137451317
20	0.1129815666
21	0.1124564477
22	0.1120060241
23	0.1115242943
24	0.1110495288
25	0.110589521
26	0.1101373629
27	0.1097025176
28	0.109259419
29	0.1090164048
30	0.1088020829
31	0.1085343184
32	0.1082526395
33	0.1079501275
34	0.1078216604
35	0.1075132704
36	0.1071286435
37	0.1069376815
38	0.1065335336
39	0.106390742
40	0.1060800905
41	0.1059435003
42	0.1057404905
43	0.1054350858
44	0.1052140935
45	0.1049734796
46	0.1046918389
47	0.1044682624
48	0.1042720133
49	0.1038528239
50	0.1036615112
51	0.1034042966
52	0.1033354765
53	0.1031454214
54	0.1029250816
55	0.1026337716
56	0.1025820513
57	0.1025369379
58	0.1021980038
59	0.102105468
60	0.1020191805
61	0.1019148551
62	0.1017099232
63	0.1015390318
64	0.1014450885
65	0.1013166072
66	0.1011235792
67	0.1009742766
68	0.100872743
69	0.100759837
70	0.1005123771
71	0.1004057691
72	0.1002346591
73	0.1001336311
74	0.0999976462
75	0.0998402557
76	0.0997817326
77	0.09963581554
78	0.09952704834
79	0.09922199381
80	0.09916432931
81	0.09903849516
82	0.0989816659
83	0.09888956945
84	0.09877976701
85	0.09868312856
86	0.09860876818
87	0.09845129273
88	0.09834956378
89	0.0982435883
90	0.09805728503
91	0.09799619644
92	0.09790397133
93	0.0976249951
94	0.09750943468
95	0.09741949186
96	0.0973676773
97	0.09725915213
98	0.09708201567
99	0.09694381612
100	0.09687366785
101	0.09670790905
102	0.09660666332
103	0.0965676384
104	0.09647569844
105	0.09639696149
106	0.09634641859
107	0.09631095694
108	0.09619882985
109	0.09612485896
110	0.09604335841
111	0.09599871309
112	0.09596913649
113	0.09591823688
114	0.09587172103
115	0.0958400456
116	0.09577238482
117	0.09560892214
118	0.09542129692
119	0.09530178843
120	0.09521052753
121	0.09514692818
122	0.09512184009
123	0.09495802841
124	0.09479696525
125	0.09465533996
126	0.09456742271
127	0.09445957732
128	0.09432894163
129	0.09423770237
130	0.09412492694
131	0.09404884383
132	0.09403476463
133	0.09401599933
134	0.09393549676
135	0.09389839399
136	0.09384839268
137	0.09381278867
138	0.09368402074
139	0.09357310012
140	0.09345434582
141	0.09339242265
142	0.09336002393
143	0.0932780816
144	0.09326207425
145	0.09307687586
146	0.09296890987
147	0.09288424395
148	0.09281113032
149	0.09274058678
150	0.09264980515
151	0.09259160651
152	0.09250398177
153	0.09248722304
154	0.09245875438
155	0.09239130966
156	0.09233864117
157	0.09233202602
158	0.09219945572
159	0.09215047892
160	0.09209441532
161	0.0920291885
162	0.09193140496
163	0.09189959406
164	0.09183608436
165	0.091825551
166	0.09175579542
167	0.09169789019
168	0.09164401393
169	0.09152309306
170	0.09141496034
171	0.09138418818
172	0.09129816018
173	0.09118939722
174	0.09111595939
175	0.09108681124
176	0.09102542364
177	0.09099551849
178	0.09096608613
179	0.09095920453
180	0.09088049968
181	0.09087563348
182	0.0908282453
183	0.09081064102
184	0.09074022001
185	0.09067684124
186	0.090657149
187	0.09050554686
188	0.09041777331
189	0.09031832277
190	0.0902829202
191	0.09012505446
192	0.0899943719
193	0.08996251269
194	0.08984296706
195	0.08976649586
196	0.08969196033
197	0.08958990927
198	0.0895214327
199	0.08949567018
200	0.08943670947
201	0.08936675328
202	0.0892477472
203	0.08920389361
204	0.08919098296
205	0.08913559943
206	0.08902153908
207	0.08889155696
208	0.08883453215
209	0.08876598086
210	0.08868536277
211	0.08866656646
212	0.0886284363
213	0.08853370143
214	0.08846327822
215	0.0883963066
216	0.08834728428
217	0.08828978917
218	0.0882373761
219	0.08815275063
220	0.08807372363
221	0.08801811565
222	0.08790133227
223	0.0877907162
224	0.08769432541
225	0.08763794245
226	0.08753413051
227	0.087439158
228	0.08735899928
229	0.08728108274
230	0.08723493547
231	0.08719479815
232	0.08717387825
233	0.08711511037
234	0.0870449707
235	0.08690904754
236	0.08684926339
237	0.0867981788
238	0.08672959467
239	0.08662246271
240	0.08655367344
241	0.08649692239
242	0.08641843304
243	0.08632672229
244	0.08625010473
245	0.0861542739
246	0.08612057351
247	0.08604534027
248	0.08591606584
249	0.08587176493
250	0.08579842072
251	0.08572562801
252	0.08563747848
253	0.08551089889
254	0.08543480162
255	0.08535244393
256	0.08531331002
257	0.0852602333
258	0.08520729265
259	0.08510587503
260	0.08503622521
261	0.0849807751
262	0.08493538686
263	0.08482200385
264	0.08480305739
265	0.08475988565
266	0.08467831656
267	0.08463855662
268	0.08459076919
269	0.0845176794
270	0.08445632014
271	0.08438510182
272	0.08430946482
273	0.08419033628
274	0.08412456115
275	0.08408296464
276	0.08397434257
277	0.08391916478
278	0.08380762683
279	0.08374001554
280	0.08370934241
281	0.08360489855
282	0.08356811139
283	0.08350054119
284	0.08346400986
285	0.08341419683
286	0.08337469753
287	0.08334001364
288	0.08323842506
289	0.08320439312
290	0.08315917199
291	0.08306404315
292	0.08299301263
293	0.08296716679
294	0.08287326569
295	0.0828603254
296	0.08284749973
297	0.08279815397
298	0.08270378942
299	0.08262673823
300	0.08256463054
301	0.08253335448
302	0.08245089464
303	0.08242074428
304	0.08239121297
305	0.08235113082
306	0.08228217981
307	0.08225382911
308	0.08222541957
309	0.08214900928
310	0.08209696363
311	0.08204799932
312	0.08199556064
313	0.08194580637
314	0.08191826609
315	0.08189143255
316	0.08184607009
317	0.0817939819
318	0.08172876317
319	0.08166737502
320	0.0816229494
321	0.08158138342
322	0.0815338126
323	0.0815018848
324	0.08148271213
325	0.08142434693
326	0.08136872751
327	0.08134489846
328	0.08129979072
329	0.08127692868
330	0.08124816343
331	0.0812218237
332	0.08119470265
333	0.0811556814
334	0.08113377288
335	0.08111233155
336	0.08106125986
337	0.08104461708
338	0.08099594383
339	0.08089702879
340	0.08086390492
341	0.0808475375
342	0.08080736638
343	0.08079187173
344	0.08071721437
345	0.0806717714
346	0.08059847557
347	0.08049507295
348	0.08046267482
349	0.08042650562
350	0.0803917547
351	0.08036842449
352	0.0803456044
353	0.08031779133
354	0.08029335826
355	0.08026873207
356	0.08024613184
357	0.08015468758
358	0.08012686924
359	0.08010563249
360	0.08000151476
361	0.07996341865
362	0.0799225645
363	0.07990607035
364	0.07980784482
365	0.07971514504
366	0.07962746799
367	0.07961144586
368	0.07958086428
369	0.07955840702
370	0.07947492629
371	0.07945942109
372	0.07944422746
373	0.07937423029
374	0.07934607524
375	0.07932374587
376	0.07930094941
377	0.0792863161
378	0.07924900218
379	0.07918581531
380	0.07915026585
381	0.0791395047
382	0.07905975463
383	0.07902580291
384	0.07899987416
385	0.0789897044
386	0.07896499259
387	0.07888636084
388	0.07886268987
389	0.078841038
390	0.07880748862
391	0.07880088299
392	0.07879149775
393	0.078766981
394	0.07870672517
395	0.0786907408
396	0.0786697934
397	0.07864920228
398	0.07862592023
399	0.07860657979
400	0.07857826324
401	0.07855484463
402	0.07853228739
403	0.07850435493
404	0.07848436811
405	0.07847262993
406	0.07844665964
407	0.0783733578
408	0.07835444166
409	0.07827268123
410	0.07819400291
411	0.07817426581
412	0.07815776408
413	0.07810163088
414	0.0780780339
415	0.07800355638
416	0.07795805097
417	0.07794035831
418	0.07791177131
419	0.07790035979
420	0.07788259476
421	0.07781781934
422	0.07779035487
423	0.0777730197
424	0.07775586467
425	0.07773449755
426	0.07772352374
427	0.07770362724
428	0.07763909248
429	0.07759571123
430	0.07758384436
431	0.07756851961
432	0.07749949192
433	0.07747975484
434	0.07746523755
435	0.07744894317
436	0.07737851283
437	0.0773177205
438	0.07730559088
439	0.07729502115
440	0.07728466171
441	0.07724357948
442	0.07722994874
443	0.0771640307
444	0.07711402761
445	0.07710392574
446	0.07705966565
447	0.07704956648
448	0.07704161556
449	0.07697674682
450	0.07696577446
451	0.07694816108
452	0.07693120534
453	0.07692246045
454	0.07687221496
455	0.07681103828
456	0.07680379615
457	0.07674822177
458	0.07669580474
459	0.07667473217
460	0.0766524309
461	0.07663915242
462	0.07662356769
463	0.0766115541
464	0.07659721599
465	0.07655221738
466	0.07654035366
467	0.07648178266
468	0.07646772521
469	0.07642458401
470	0.0764134172
471	0.0764066899
472	0.07639285164
473	0.07635430009
474	0.07634051925
475	0.07633129566
476	0.07630883683
477	0.0763045493
478	0.07629099053
479	0.07625896688
480	0.07624831722
481	0.07623512897
482	0.07621121216
483	0.07620118527
484	0.07618799463
485	0.07617499902
486	0.07614434438
487	0.07613787817
488	0.07612521123
489	0.07611347684
490	0.07608632016
491	0.07607358696
492	0.07601835062
493	0.07601022255
494	0.07599779627
495	0.07597793545
496	0.07597275332
497	0.07596630576
498	0.07591906978
499	0.0758905326
500	0.07587835502
501	0.07582628882
502	0.0758143998
503	0.07578395109
504	0.07574686478
505	0.07570324408
506	0.07568177364
507	0.0756700923
508	0.07563949672
509	0.07562100971
510	0.07561181922
511	0.07560510811
512	0.07557559688
513	0.07554676189
514	0.07553785545
515	0.07553417843
516	0.07550539743
517	0.07549423255
518	0.07545095306
519	0.07542996845
520	0.0754189139
521	0.07540974482
522	0.07537083124
523	0.07536001088
524	0.07534934391
525	0.07530216361
526	0.07526501402
527	0.07524825327
528	0.07522926385
529	0.07519892153
530	0.07518237661
531	0.07514924476
532	0.07513884048
533	0.0750940435
534	0.07505600733
535	0.07503848129
536	0.07502322276
537	0.07499723624
538	0.07498715803
539	0.07497833491
540	0.07494528317
541	0.07493679657
542	0.07493352781
543	0.07492866801
544	0.07491899583
545	0.0749120678
546	0.07490401968
547	0.07487211327
548	0.07486278096
549	0.07485597198
550	0.0748526816
551	0.07482875206
552	0.07482074606
553	0.07478554752
554	0.07475824337
555	0.07474543219
556	0.07473786742
557	0.0746991313
558	0.07469190661
559	0.07465269278
560	0.07463234077
561	0.07462358335
562	0.07459822461
563	0.07456895574
564	0.07456590527
565	0.07454972559
566	0.07452092906
567	0.07449308678
568	0.07445955478
569	0.07445299722
570	0.07442108578
571	0.07439917343
572	0.07439145287
573	0.074384493
